money_value,currency,datetime,category,fund,month_date
200,EUR,2022-07-23 19:27:11.925422,,important_expenditures,2022-07-07
200,EUR,2022-07-23 19:27:18.740777,,for_future,2022-07-07
13208,UAH,2022-07-25 11:35:45.548628,,necessary_costs,2022-07-07
-12000,UAH,2022-07-25 11:38:55.081066,flat_rent,necessary_costs,2022-07-07
4805,UAH,2022-07-25 11:40:18.882229,,food_and_entertainment,2022-07-07
2000,UAH,2022-07-25 11:41:17.075016,,important_expenditures,2022-07-07
-474,UAH,2022-07-25 11:41:38.167400,road,important_expenditures,2022-07-07
-399,UAH,2022-07-25 11:42:41.712989,road,important_expenditures,2022-07-07
-1208,UAH,2022-07-25 11:47:09.498326,utilities,necessary_costs,2022-07-07
-28,UAH,2022-07-25 11:47:54.963622,regular_food,food_and_entertainment,2022-07-07
-13,UAH,2022-07-25 11:47:58.608033,regular_food,food_and_entertainment,2022-07-07
-96,UAH,2022-07-25 11:48:20.203591,regular_food,food_and_entertainment,2022-07-07
-82,UAH,2022-07-25 11:48:55.256520,restaurant_food,food_and_entertainment,2022-07-07
-269,UAH,2022-07-25 11:49:16.968632,clothes,important_expenditures,2022-07-07
-187,UAH,2022-07-25 11:49:37.789389,restaurant_food,food_and_entertainment,2022-07-07
-570,UAH,2022-07-25 11:49:55.208233,cinema,food_and_entertainment,2022-07-07
-316,UAH,2022-07-25 11:50:19.815127,regular_food,food_and_entertainment,2022-07-07
-64,UAH,2022-07-25 11:50:46.801961,regular_food,food_and_entertainment,2022-07-07
-59,UAH,2022-07-25 11:50:51.835910,regular_food,food_and_entertainment,2022-07-07
-236,UAH,2022-07-25 11:51:19.083913,restaurant_food,food_and_entertainment,2022-07-07
-210,UAH,2022-07-25 11:51:27.349927,restaurant_food,food_and_entertainment,2022-07-07
-177,UAH,2022-07-25 11:51:41.311945,restaurant_food,food_and_entertainment,2022-07-07
-95,UAH,2022-07-25 11:51:52.744808,coffee,food_and_entertainment,2022-07-07
-12,UAH,2022-07-25 11:52:09.397679,regular_food,food_and_entertainment,2022-07-07
-68,UAH,2022-07-25 11:53:12.280521,regular_food,food_and_entertainment,2022-07-07
-126,UAH,2022-07-25 11:53:20.061650,regular_food,food_and_entertainment,2022-07-07
-37,UAH,2022-07-25 11:53:27.018545,regular_food,food_and_entertainment,2022-07-07
-45,UAH,2022-07-25 11:53:36.114432,coffee,food_and_entertainment,2022-07-07
-264,UAH,2022-07-25 11:54:39.391280,2_other,food_and_entertainment,2022-07-07
-70,UAH,2022-07-25 11:55:01.873788,regular_food,food_and_entertainment,2022-07-07
-352,UAH,2022-07-25 11:55:08.765484,regular_food,food_and_entertainment,2022-07-07
-42,UAH,2022-07-25 11:55:20.058500,coffee,food_and_entertainment,2022-07-07
